"index","probe.id","gene.id"
10334,"200885_at","PPM1J"
10335,"200886_s_at","PGAM1"
10336,"200887_s_at","STAT1"
10337,"200888_s_at","RPL23"
10338,"200889_s_at","SSR1"
10339,"200890_s_at","SSR1"
10340,"200891_s_at","SSR1"
10341,"200892_s_at","TRA2B"
10342,"200893_at","TRA2B"
10343,"200894_s_at","FKBP4"
10344,"200895_s_at","FKBP4"
10345,"200896_x_at","HDGF"
10346,"200897_s_at","PALLD"
10347,"200898_s_at","OGA"
10348,"200899_s_at","OGA"
10349,"200900_s_at","M6PR"
10350,"200901_s_at","M6PR"
10351,"200902_at","SELENOF"
10352,"200903_s_at","AHCY"
10353,"200904_at","HLA-E"
10354,"200905_x_at","HLA-E"
10355,"200906_s_at","PALLD"
10356,"200907_s_at","PALLD"
10357,"200908_s_at","RPLP2"
10358,"200909_s_at","RPLP2"
10359,"200910_at","CCT3"
10360,"200911_s_at","TACC1"
10361,"200912_s_at","EIF4A2"
10362,"200913_at","PPM1G"
10363,"200914_x_at","KTN1"
10364,"200915_x_at","KTN1"
10365,"200916_at","TAGLN2"
10366,"200917_s_at","SRPRA"
10367,"200918_s_at","SRPRA"
10368,"200919_at","PHC2"
10369,"200920_s_at","BTG1"
10370,"200921_s_at","BTG1"
10371,"200922_at","KDELR1"
10372,"200923_at","LGALS3BP"
10373,"200924_s_at","SLC3A2"
10374,"200925_at","COX6A1"
10375,"200926_at","RPS23"
10376,"200927_s_at","RAB14"
10377,"200928_s_at","RAB14"
10378,"200929_at","TMED10"
10379,"200930_s_at","VCL"
10380,"200931_s_at","VCL"
10381,"200932_s_at","DCTN2"
10382,"200933_x_at","RPS4X"
10383,"200934_at","DEK"
10384,"200935_at","CALR"
10385,"200936_at","RPL8"
10386,"200937_s_at","RPL5"
10387,"200938_s_at","RERE"
10388,"200939_s_at","RERE"
10389,"200940_s_at","RERE"
10390,"200941_at","HSBP1"
10391,"200942_s_at","HSBP1"
10392,"200943_at","HMGN1"
10393,"200944_s_at","HMGN1"
10394,"200945_s_at","SEC31A"
10395,"200946_x_at","GLUD1"
10396,"200947_s_at","GLUD1"
10397,"200948_at","MLF2"
10398,"200949_x_at","RPS20"
10399,"200950_at","ARPC1A"
10400,"200951_s_at","CCND2"
10401,"200952_s_at","CCND2"
10402,"200953_s_at","CCND2"
10403,"200954_at","ATP6V0C"
10404,"200955_at","IMMT"
10405,"200956_s_at","SSRP1"
10406,"200957_s_at","SSRP1"
10407,"200958_s_at","SDCBP"
10408,"200959_at","FUS"
10409,"200960_x_at","CLTA"
10410,"200961_at","SEPHS2"
10411,"200962_at","RPL31"
10412,"200963_x_at","RPL31"
10413,"200964_at","UBA1"
10414,"200965_s_at","ABLIM1"
10415,"200966_x_at","ALDOA"
10416,"200967_at","PPIB"
10417,"200968_s_at","PPIB"
10418,"200969_at","SERP1"
10419,"200970_s_at","SERP1"
10420,"200971_s_at","SERP1"
10421,"200972_at","TSPAN3"
10422,"200973_s_at","TSPAN3"
10423,"200974_at","ACTA2"
10424,"200975_at","PPT1"
10425,"200976_s_at","TAX1BP1"
10426,"200977_s_at","TAX1BP1"
10427,"200978_at","MDH1"
10428,"200979_at","PDHA1"
10429,"200980_s_at","PDHA1"
